completed_orders,average_fulfillment_time,total_distance,collisions,charging_events,average_battery,utilization,tick
0,0,0.0,0,0,86.2,0.31,550
0,0,0.0,0,0,85.95,0.31,560
0,0,0.0,0,0,85.7,0.31,570
0,0,0.0,0,0,85.45,0.31,580
0,0,0.0,0,0,85.2,0.31,590
0,0,0.0,0,0,84.95,0.31,600
0,0,0.0,0,0,84.7,0.32,610
0,0,0.0,0,0,84.45,0.32,620
0,0,0.0,0,0,84.2,0.32,630
0,0,0.0,0,0,83.95,0.32,640
0,0,0.0,0,0,83.7,0.32,650
0,0,0.0,0,0,83.45,0.32,660
0,0,0.0,0,0,83.2,0.32,670
0,0,0.0,0,0,82.95,0.32,680
0,0,0.0,0,0,82.7,0.33,690
0,0,0.0,0,0,82.45,0.33,700
0,0,0.0,0,0,82.2,0.33,710
0,0,0.0,0,0,81.95,0.33,720
0,0,0.0,0,0,81.7,0.33,730
0,0,0.0,0,0,81.45,0.33,740
0,0,0.0,0,0,81.2,0.34,750
0,0,0.0,0,0,80.95,0.34,760
0,0,0.0,0,0,80.7,0.34,770
0,0,0.0,0,0,80.45,0.35,780
0,0,0.0,0,0,80.2,0.35,790
0,0,0.0,0,0,79.95,0.35,800
0,0,0.0,0,0,79.7,0.36,810
0,0,0.0,0,0,79.45,0.36,820
0,0,0.0,0,0,79.2,0.36,830
0,0,0.0,0,0,78.95,0.37,840
0,0,0.0,0,0,78.7,0.37,850
0,0,0.0,0,0,78.45,0.38,860
0,0,0.0,0,0,78.2,0.38,870
0,0,0.0,0,0,77.95,0.39,880
0,0,0.0,0,0,77.7,0.39,890
0,0,0.0,0,0,77.45,0.39,900
0,0,0.0,0,0,77.2,0.4,910
0,0,0.0,0,0,76.95,0.4,920
0,0,0.0,0,0,76.7,0.41,930
0,0,0.0,0,0,76.45,0.41,940
0,0,0.0,0,0,76.2,0.42,950
0,0,0.0,0,0,75.95,0.42,960
0,0,0.0,0,0,75.7,0.42,970
0,0,0.0,0,0,75.45,0.43,980
0,0,0.0,0,0,75.2,0.43,990
0,0,0.0,0,0,74.95,0.43,1000
0,0,0.0,0,0,74.7,0.44,1010
0,0,0.0,0,0,74.45,0.44,1020
0,0,0.0,0,0,74.2,0.45,1030
0,0,0.0,0,0,73.95,0.45,1040
0,0,0.0,0,0,73.7,0.45,1050
0,0,0.0,0,0,73.45,0.46,1060
0,0,0.0,0,0,73.2,0.46,1070
0,0,0.0,0,0,72.95,0.46,1080
0,0,0.0,0,0,72.7,0.46,1090
0,0,0.0,0,0,72.45,0.47,1100
0,0,0.0,0,0,72.2,0.47,1110
0,0,0.0,0,0,71.95,0.47,1120
0,0,0.0,0,0,71.7,0.48,1130
0,0,0.0,0,0,71.45,0.48,1140
0,0,0.0,0,0,71.2,0.48,1150
0,0,0.0,0,0,70.95,0.49,1160
0,0,0.0,0,0,70.7,0.49,1170
0,0,0.0,0,0,70.45,0.49,1180
0,0,0.0,0,0,70.2,0.49,1190
0,0,0.0,0,0,69.95,0.5,1200
0,0,0.0,0,0,69.7,0.5,1210
0,0,0.0,0,0,69.45,0.5,1220
0,0,0.0,0,0,69.2,0.5,1230
0,0,0.0,0,0,68.95,0.51,1240
0,0,0.0,0,0,68.7,0.51,1250
0,0,0.0,0,0,68.45,0.51,1260
0,0,0.0,0,0,68.2,0.51,1270
0,0,0.0,0,0,67.95,0.51,1280
0,0,0.0,0,0,67.7,0.52,1290
0,0,0.0,0,0,67.45,0.52,1300
0,0,0.0,0,0,67.2,0.52,1310
0,0,0.0,0,0,66.95,0.52,1320
0,0,0.0,0,0,66.7,0.53,1330
0,0,0.0,0,0,66.45,0.53,1340
0,0,0.0,0,0,66.2,0.53,1350
0,0,0.0,0,0,65.95,0.53,1360
0,0,0.0,0,0,65.7,0.53,1370
0,0,0.0,0,0,65.45,0.54,1380
0,0,0.0,0,0,65.2,0.54,1390
0,0,0.0,0,0,64.95,0.54,1400
